Marca,Modelo,Versão,Código FIPE
Chevrolet,Onix,1.0 Flex Manual,004520-4
Chevrolet,Tracker,1.2 Turbo Premier AT,004534-4
Fiat,Argo,1.0 Firefly Flex,001499-0
Fiat,Pulse,1.0 Turbo 200 Flex AT,001544-0
Ford,Ka,1.0 SE Flex 5p,003389-6
Ford,Ranger,3.2 CD Limited 4x4 Diesel AT,003509-0
Honda,Civic,2.0 Sport CVT Flex,014130-1
Honda,HR-V,1.5 EXL CVT Flex,014134-4
Hyundai,HB20,1.0 Sense Flex Manual,015156-9
Hyundai,Creta,1.0 Turbo Flex AT,015161-5
Jeep,Renegade,1.3 T270 Turbo Flex AT6,017160-6
Jeep,Compass,1.3 T270 Limited Flex AT6,017146-0
Nissan,Kicks,1.6 SV Flex CVT,019132-1
Peugeot,208,1.0 Like Flex,024249-8
Renault,Kwid,1.0 Zen Flex Manual,025271-7
Renault,Duster,1.6 Intense CVT Flex,025259-7
Toyota,Corolla,2.0 GLi Upper Flex CVT,002157-1
Toyota,Yaris Hatch,1.5 XS Connect Flex CVT,002180-6
Volkswagen,Gol,1.0 Flex Manual,005341-6
Volkswagen,T-Cross,1.0 200 TSI Comfortline,005493-5
Chevrolet,Spin,1.8 LTZ 8V Flex 5p Aut,004338-7
Fiat,Cronos,1.3 Drive Flex,001538-5
Ford,EcoSport,1.5 SE Flex 5p Aut,003447-7
Honda,Fit,1.5 LX CVT Flex,014091-7
Hyundai,Tucson,1.6 Turbo GDI Flex Aut,015146-1
Jeep,Commander,2.0 TD380 Overland 4x4 Aut,017172-0
Nissan,Versa,1.6 Exclusive CVT,019143-7
Peugeot,2008,1.6 Allure Flex,024244-7
Toyota,Hilux,2.8 TDI SRX CD 4x4,002133-4
Volkswagen,Nivus,1.0 200 TSI Highline,005516-8
Audi,Q3,Black Edition 1.4 TFSI Flex S tronic,080121-0
BMW,X1,2.0 sDrive20i GP 16v Turbo Flex Aut,080123-6
Mercedes-Benz,C-Class,1.5 C180 EQ Boost Avantgarde 16v Aut,080125-1
Porsche,Cayenne,3.0 V6 Turbo 340cv 4x4 Aut,080127-7
Renault,Master,2.3 16V Turbo Diesel 2p,025265-4
Volkswagen,Amarok,3.0 V6 TDI 258cv 4x4 Aut,005509-1
Chevrolet,Tracker,1.0 Turbo LT Flex AT,004535-1
Fiat,Strada,1.3 Firefly Flex 8V AT,001546-5
Ford,Maverick,2.0 Turbo 4x4 AT,003511-6
Honda,Civic,2.0 EXL CVT Flex,014131-9
Hyundai,Creta,2.0 Ultimate 16v Flex AT,015162-3
Jeep,Renegade,1.8 16V Flex Longitude AT6,017161-4
Nissan,Kicks,1.6 16V Flex SV CVT,019133-9
Peugeot,3008,1.6 THP Griffe Flex AT6,024250-4
Renault,Logan,1.0 12V Flex Zen Manual,025272-5
Toyota,Corolla Cross,2.0 XRE Flex CVT,002158-9
Volkswagen,Tiguan,2.0 250 TSI R-Line 4x4 AT,005494-3
Chevrolet,Onix Plus,1.0 Turbo LT Flex AT,004521-2
Fiat,Mobi,1.0 Flex Easy Manual,001500-6
Ford,Fiesta,1.6 SE Flex 5p Aut,003390-4
Honda,WR-V,1.5 EX CVT Flex,014135-1
